code,age.low,age.hi,unit
1,0,200,yr
2,200,750,yr
3,750,1500,yr
4,1500,3000,yr
5,3000,5000,yr
6,5000,10000,yr
7,10,30,ka
8,30,50,ka
9,50,140,ka
10,140,780,ka
11,780,1000,ka
12,1,2,Ma
