"temp.Name","coords.x1","coords.x2","coords.x3"
"waikamoi_7A",-156.25026200898,20.7979770284146,0
"waikamoi_6A",-156.249361038208,20.7998659741133,0
"waikamoi_41",-156.254209969193,20.8022050280124,0
"waikamoi_36A",-156.245884979144,20.7992430310696,0
"waikamoi_32A",-156.252714972943,20.8003589976579,0
"waikamoi_18A",-156.243538968265,20.799762038514,1506.559937
"waikamoi_16A",-156.241851020604,20.7995870243758,0
